鷺娘,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鷺娘,サギムスメ,サギムスメ,0/5,*,さ[ぎむすめ
鷹辰,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鷹辰,タカタツ,タカタツ,0/4,*,た[かたつ
鷹臣,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鷹臣,タカオミ,タカオミ,2/4,*,た[か]おみ
鷹村,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鷹村,タカムラ,タカムラ,2/4,*,た[か]むら
鷹拳,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鷹拳,タカケン,タカケン,2/4,*,た[か]けん
鷹子,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鷹子,タカコ,タカコ,1/3,*,た]かこ
鷹士,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鷹士,タカシ,タカシ,0/3,*,た[かし
鷹城,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鷹城,タカジョウ,タカジョー,2/4,*,た[かじ]ヨう
鷹兄,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鷹兄,タカニイ,タカニイ,0/4,*,た[かにい
鶴襄,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴襄,ツルノボル,ツルノボル,3/5,*,つ[るの]ぼる
鶴衛,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴衛,ツルマモル,ツルマモル,3/5,*,つ[るま]もる
鶴舞,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴舞,ツルマ,ツルマ,1/3,*,つ]るま
鶴王,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴王,タヅオウ,タズオー,2/4,*,た[づ]おう
鶴澤,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴澤,ツルサワタンザン,ツルサワタンザン,6/8,*,つ[るさわたん]ざん
鶴氏,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴氏,ツルシ,ツルシ,1/3,*,つ]るし
鶴拳,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴拳,ツルケン,ツルケン,2/4,*,つ[る]けん
鶴彬,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴彬,ツルアキラ,ツルアキラ,3/5,*,つ[るあ]きら
鶴弥,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴弥,ツルヤ,ツルヤ,1/3,*,つ]るや
鶴工,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴工,ツルコウ,ツルコー,2/4,*,つ[る]こう
鶴嶺,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴嶺,ツルミネ,ツルミネ,2/4,*,つ[る]みね
鶴峠,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴峠,ツルトウゲ,ツルトーゲ,0/5,*,つ[るとうげ
鶴小,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴小,ツルショウ,ツルショー,2/4,*,つ[るし]ヨう
鶴姫,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴姫,ツルヒメ,ツルヒメ,2/4,*,つ[る]ひめ
鶴女,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴女,ツルジョ,ツルジョ,2/3,*,つ[る]じヨ
鶴中,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶴中,ツルチュウ,ツルチュー,2/4,*,つ[るち]ユう
鶯籠,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶯籠,トリカゴ,トリカゴ,2/4,*,と[り]かご
鶏油,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶏油,チーユ,チーユ,0/3,*,ち[ーゆ
鶏排,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶏排,ジーパイ,ジーパイ,2/4,*,じ[ー]ぱい
鶏合,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶏合,トリアワセ,トリアワセ,3/5,*,と[りあ]わせ
鶉鴿,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶉鴿,チュンゴー,チュンゴー,2/4,*,ち[ユん]ごー
鶉首,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶉首,ジュンシュ,ジュンシュ,0/3,*,じ[ユんしユ
鶉火,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶉火,ジュンカ,ジュンカ,0/3,*,じ[ユんか
鶉尾,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鶉尾,ジュンビ,ジュンビ,0/3,*,じ[ユんび
鵲橋,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鵲橋,ジャッキョウ,ジャッキョー,3/4,*,じ[ヤっき]ヨう
鵄邑,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鵄邑,トビノムラ,トビノムラ,0/5,*,と[びのむら
鴟行,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鴟行,シギョウ,シギョー,1/3,*,し[ぎ]ヨう
鴟尾,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鴟尾,シビ,シビ,1/2,*,し]び
鴟吻,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鴟吻,シフン,シフン,1/3,*,し]ふん
鳶山,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳶山,トンビヤマ,トンビヤマ,3/5,*,と[んび]やま
鳴狐,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳴狐,ナキギツネ,ナキギツネ,3/5,*,な[きぎ]つね
鳥部,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥部,チョウブ,チョーブ,0/3,*,ち[ヨ]うぶ
鳥襷,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥襷,トリダスキ,トリダスキ,3/5,*,と[りだ]すき
鳥衾,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥衾,トリブスマ,トリブスマ,3/5,*,と[りぶ]すま
鳥環,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥環,トッカン,トッカン,0/4,*,と[っかん
鳥津,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥津,トリヅ,トリズ,0/3,*,と[りづ
鳥形,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥形,チョウケイ,チョーケー,2/4,*,ち[ヨう]けい
鳥師,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥師,トリシ,トリシ,0/3,*,と[りし
鳥安,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥安,トリヤス,トリヤス,2/4,*,と[り]やす
鳥売,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥売,トリウリ,トリウリ,0/4,*,と[りうり
鳥坂,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥坂,トッサカ,トッサカ,0/4,*,と[っさか
鳥口,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥口,トリグチ,トリグチ,0/4,*,と[りぐち
鳥博,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥博,トリハク,トリハク,2/4,*,と[り]はく
鳥久,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥久,トリキュウ,トリキュー,2/4,*,と[りき]ユう
鳥中,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鳥中,トリチュウ,トリチュー,2/4,*,と[りち]ユう
鱸丸,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鱸丸,スズキマル,スズキマル,3/5,*,す[ずき]まる
鱈岬,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鱈岬,タラミサキ,タラミサキ,3/5,*,た[らみ]さき
鰓軸,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鰓軸,サイジク,サイジク,0/4,*,さ[いじく
鰓葉,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鰓葉,サイヨウ,サイヨー,0/4,*,さ[いよう
鰓耙,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鰓耙,サイハ,サイハ,1/3,*,さ]いは
鰓書,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鰓書,サイショ,サイショ,0/3,*,さ[いしヨ
鰓弁,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鰓弁,サイベン,サイベン,0/4,*,さ[いべん
鯱神,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鯱神,シャチガミ,シャチガミ,2/4,*,し[ヤち]がみ
鯨波,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鯨波,トキノコエ,トキノコエ,0/5,*,と[きのこえ
鯣十,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鯣十,スルメジュウ,スルメジュー,3/5,*,す[るめじ]ユう
鯛麺,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鯛麺,タイメン,タイメン,2/4,*,た[い]めん
鯛島,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鯛島,タイジマ,タイジマ,2/4,*,た[い]じま
鯛二,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鯛二,タイジ,タイジ,0/3,*,た[いじ
鯖高,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鯖高,サバコウ,サバコー,2/4,*,さ[ば]こう
鯖猫,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鯖猫,サバネコ,サバネコ,0/4,*,さ[ばねこ
鯖尻,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鯖尻,サバジリ,サバジリ,2/4,*,さ[ば]じり
鮹岩,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鮹岩,タコイワ,タコイワ,2/4,*,た[こ]いわ
鮮銀,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鮮銀,センギン,センギン,2/4,*,せ[ん]ぎん
鮮京,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鮮京,ソンギョン,ソンギョン,2/4,*,そ[んぎ]ヨん
鮮于,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鮮于,センウ,センウ,1/3,*,せ]んう
鮭夫,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鮭夫,シャケオ,シャケオ,0/3,*,し[ヤ]けお
鮫駅,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鮫駅,サメエキ,サメーキ,2/4,*,さ[め]えき
鮫洲,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鮫洲,サメズ,サメズ,0/3,*,さ[めず
鮫村,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鮫村,サメムラ,サメムラ,0/4,*,さ[めむら
鮫拳,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鮫拳,サメケン,サメケン,2/4,*,さ[め]けん
鮫亀,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鮫亀,サメガメ,サメガメ,0/4,*,さ[めがめ
鮨枠,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鮨枠,スシワク,スシワク,2/4,*,す[し]わく
魚造,1348,1348,10000,名詞,固有名詞,一般,*,*,*,魚造,サカゾウ,サカゾー,2/4,*,さ[か]ぞう
魚虎,1348,1348,10000,名詞,固有名詞,一般,*,*,*,魚虎,シャチホコ,シャチホコ,2/4,*,し[ヤち]ほこ
魚汁,1348,1348,10000,名詞,固有名詞,一般,*,*,*,魚汁,サカナジル,サカナジル,3/5,*,さ[かな]じる
魚家,1348,1348,10000,名詞,固有名詞,一般,*,*,*,魚家,サカナヤ,サカナヤ,0/4,*,さ[かなや
魚垣,1348,1348,10000,名詞,固有名詞,一般,*,*,*,魚垣,ナガキ,ナガキ,0/3,*,な[がき
魔剣,1348,1348,10000,名詞,固有名詞,一般,*,*,*,魔剣,デュランダル,デュランダル,3/5,*,で[ユらん]だる
魅力,1348,1348,10000,名詞,固有名詞,一般,*,*,*,魅力,チャーム,チャーム,0/3,*,ち[ヤーむ
魂獣,1348,1348,10000,名詞,固有名詞,一般,*,*,*,魂獣,スピリッツ,スピリッツ,2/5,*,す[ぴり]っつ
魂柱,1348,1348,10000,名詞,固有名詞,一般,*,*,*,魂柱,コンチュウ,コンチュー,2/4,*,こ[んち]ユう
魂振,1348,1348,10000,名詞,固有名詞,一般,*,*,*,魂振,タマフリ,タマフリ,2/4,*,た[ま]ふり
魂奇,1348,1348,10000,名詞,固有名詞,一般,*,*,*,魂奇,コンキ,コンキ,0/3,*,こ[んき
