韓王信,1349,1349,8000,名詞,固有名詞,人名,一般,*,*,韓王信,カンオウシン,カンオウシン,0/6,*,か[んおう[しん,『史記』P.2631
韓暨,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,韓暨,カンキ,カンキ,0/3,*,か[んき,『三國志』魏志：P.677
韓安國,1349,1349,8000,名詞,固有名詞,人名,一般,*,*,韓安國,カンアンコク,カンアンコク,4/6,*,か[んあん]こく,『史記』P.2857
韓嬰,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,韓嬰,カンエイ,カンエイ,2/4,*,か[ん]えい,『史記』P.3124:しない:韓生
韓信,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,韓信,カンシン,カンシン,0/4,*,か[んしん,『史記』P.2609:しない:淮陰侯
韋曜,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,韋曜,イヨウ,イヨウ,1/3,*,い]よう,『三國志』呉志：P.1460:しない:韋昭
韋昭,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,韋昭,イショウ,イショウ,1/3,*,い[し]ヨう,『三國志』呉志：P.1460:しない:韋曜
靳歙,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,靳歙,キンキョウ,キンキョウ,2/4,*,き[んき]ヨう,『史記』P.2709
靈殤公子京,1349,1349,8000,名詞,固有名詞,人名,一般,*,*,靈殤公子京,レイショクコウシケイ,レイショクコウシケイ,7/9,*,れ[いしヨくこうし]けい,『三國志』魏志：P.588:しない:曹京:霊殤公子京
霍峻,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,霍峻,カクシュン,カクシュン,2/4,*,か[くし]ユん,『三國志』蜀志：P.1007
霍去病,1349,1349,8000,名詞,固有名詞,人名,一般,*,*,霍去病,カクキョヘイ,カクキョヘイ,2/5,*,か[くきヨ]へい,『史記』P.2928
陸遜,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陸遜,リクソン,リクソン,0/4,*,り[くそん,『三國志』呉志：P.1343
陸賈,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陸賈,リクカ,リクカ,1/3,*,り]くか,『史記』P.2697
陸績,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陸績,リクセキ,リクセキ,0/4,*,り[くせき,『三國志』呉志：P.1328
陸瑁,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陸瑁,リクボウ,リクボウ,0/4,*,り[くぼう,『三國志』呉志：P.1336
陸抗,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陸抗,リクコウ,リクコウ,2/4,*,り[く]こう,『三國志』呉志：P.1354
陸凱,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陸凱,リクガイ,リクガイ,2/4,*,り[く]がい,『三國志』呉志：P.1399
陶謙,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陶謙,トウケン,トウケン,0/4,*,と[うけん,『三國志』魏志：P.247
陳餘,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陳餘,チンヨ,チンヨ,1/3,*,ち]んよ,『史記』P.2571:しない:陳余
陳震,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陳震,チンシン,チンシン,2/4,*,ち[ん]しん,『三國志』蜀志：P.984
陳豨,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陳豨,チンキ,チンキ,1/3,*,ち]んき,『史記』P.2639
陳群,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陳群,チングン,チングン,2/4,*,ち[ん]ぐん,『三國志』魏志：P.633:しない:陳羣
陳矯,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陳矯,チンキョウ,チンキョウ,2/4,*,ち[んき]ヨう,『三國志』魏志：P.642
陳留王奐,1349,1349,8000,名詞,固有名詞,人名,一般,*,*,陳留王奐,チンリュウオウカン,チンリュウオウカン,6/8,*,ち[んりユうおう]かん,『三國志』魏志：P.147:しない:曹奐
陳留恭王峻,1349,1349,8000,名詞,固有名詞,人名,一般,*,*,陳留恭王峻,チンリュウキョウオウシュン,チンリュウキョウオウシュン,9/10,*,ち[んりユうきヨうおうし]ユん,『三國志』魏志：P.585:しない:曹峻
陳琳,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陳琳,チンリン,チンリン,0/4,*,ち[んりん,『三國志』魏志：P.599
陳渉,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陳渉,チンショウ,チンショウ,2/4,*,ち[んし]ヨう,『史記』P.1949:しない:陳勝
陳武,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,陳武,チンブ,チンブ,0/3,*,ち[んぶ,『三國志』呉志：P.1289
陳思王植,1349,1349,8000,名詞,固有名詞,人名,一般,*,*,陳思王植,チンシオウショク,チンシオウショク,5/7,*,ち[んしおうし]ヨく,『三國志』魏志：P.557:しない:曹植
